customer_id,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
C100130,0,No,No,34,Two year,Fiber optic,No,No,Yes,Mailed check,81.57,2503.95,No
C100131,0,Yes,No,38,One year,Fiber optic,Yes,No,Yes,Mailed check,79.38,2827.15,No
C100132,0,No,No,20,Month-to-month,DSL,No,No,Yes,Mailed check,50.25,955.46,No
C100133,0,Yes,No,30,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,95.77,2895.31,Yes
C100134,0,Yes,Yes,70,Two year,Fiber optic,No,Yes,No,Credit card,66.92,4828.93,No
C100135,1,Yes,No,1,Month-to-month,DSL,No,Yes,No,Mailed check,70.24,64.77,No
C100136,0,Yes,No,61,Two year,Fiber optic,No,Yes,Yes,Bank transfer,72.72,4108.09,No
C100137,0,Yes,No,25,Month-to-month,DSL,No,Yes,Yes,Bank transfer,67.94,1626.38,No
C100138,0,Yes,No,26,Month-to-month,DSL,No,No,Yes,Electronic check,63.68,1587.72,Yes
C100139,0,No,No,42,Two year,DSL,Yes,No,Yes,Electronic check,54.76,2072.42,No
C100140,0,No,No,38,One year,Fiber optic,No,No,No,Bank transfer,71.96,2714.5,No
C100141,0,Yes,No,58,One year,Fiber optic,No,No,Yes,Credit card,94.55,5154.19,No
C100142,1,Yes,No,18,Month-to-month,DSL,No,No,No,Credit card,53.15,864.52,No
C100143,0,No,No,72,Two year,Fiber optic,Yes,Yes,No,Credit card,68.38,4885.66,No
C100144,0,Yes,No,11,Month-to-month,No,No,No,No,Electronic check,18.0,179.4,Yes
C100145,0,Yes,Yes,53,Two year,No,No,No,Yes,Credit card,18.0,950.69,No
C100146,1,Yes,Yes,8,Month-to-month,Fiber optic,No,No,Yes,Electronic check,76.9,644.29,Yes
C100147,0,Yes,Yes,38,Month-to-month,DSL,No,Yes,Yes,Electronic check,45.47,1797.01,No
C100148,1,Yes,No,47,Month-to-month,Fiber optic,Yes,Yes,No,Credit card,70.63,3272.73,No
C100149,0,No,No,49,Two year,No,No,No,No,Electronic check,37.66,1683.13,No
C100150,0,No,Yes,22,Month-to-month,No,Yes,Yes,No,Bank transfer,19.13,440.11,No
C100151,0,No,No,49,Two year,No,Yes,No,Yes,Credit card,25.41,1217.5,No
C100152,0,Yes,No,60,One year,Fiber optic,No,Yes,No,Credit card,85.31,5372.72,No
C100153,0,No,Yes,19,One year,DSL,No,No,No,Credit card,64.28,1214.59,No
C100154,0,No,Yes,46,One year,DSL,Yes,Yes,Yes,Bank transfer,73.37,3132.82,No
C100155,0,No,No,66,Two year,Fiber optic,No,No,No,Electronic check,100.13,6600.17,No
C100156,0,No,No,16,Month-to-month,No,No,No,Yes,Electronic check,32.5,534.52,Yes
C100157,1,Yes,No,6,Month-to-month,Fiber optic,No,No,Yes,Electronic check,76.74,480.64,Yes
C100158,0,Yes,No,12,Month-to-month,Fiber optic,No,No,Yes,Electronic check,63.77,748.84,Yes
C100159,0,No,No,22,Month-to-month,Fiber optic,No,No,No,Electronic check,72.08,1657.62,No
C100160,0,Yes,No,23,Month-to-month,Fiber optic,No,No,Yes,Credit card,64.4,1449.85,Yes
C100161,1,Yes,No,43,Two year,Fiber optic,No,Yes,No,Credit card,60.08,2482.0,No
C100162,0,Yes,No,58,Two year,DSL,No,No,No,Electronic check,39.67,2271.21,No
C100163,0,Yes,No,1,Month-to-month,DSL,Yes,Yes,Yes,Mailed check,43.38,41.99,No
C100164,0,No,No,24,One year,Fiber optic,No,Yes,Yes,Credit card,100.09,2501.0,No
C100165,0,Yes,No,7,Month-to-month,DSL,No,Yes,No,Mailed check,56.35,355.45,No
C100166,0,No,No,27,One year,DSL,No,No,Yes,Mailed check,49.55,1284.51,No
C100167,0,Yes,Yes,22,One year,No,No,No,No,Credit card,25.37,567.39,Yes
C100168,0,Yes,No,28,Month-to-month,Fiber optic,Yes,Yes,No,Credit card,58.59,1494.34,No
C100169,0,No,No,56,Two year,Fiber optic,Yes,No,Yes,Electronic check,69.98,3669.17,No
C100170,0,Yes,No,22,Month-to-month,No,Yes,No,Yes,Credit card,30.84,632.41,No
C100171,1,Yes,No,19,One year,DSL,Yes,Yes,No,Mailed check,56.9,1045.69,No
C100172,0,No,No,32,One year,Fiber optic,Yes,Yes,No,Electronic check,64.74,2002.29,No
C100173,0,No,No,5,Month-to-month,No,No,No,No,Electronic check,38.42,190.98,Yes
C100174,1,No,No,30,Month-to-month,No,Yes,No,Yes,Credit card,40.6,1221.67,No
C100175,0,Yes,No,24,Month-to-month,Fiber optic,No,No,Yes,Electronic check,88.83,1949.61,Yes
C100176,0,Yes,No,52,One year,DSL,Yes,Yes,Yes,Electronic check,56.85,2962.58,No
C100177,0,Yes,No,59,Two year,Fiber optic,No,Yes,No,Credit card,81.82,4561.35,No
C100178,0,Yes,No,43,One year,DSL,No,No,Yes,Mailed check,53.75,2146.06,No
C100179,0,Yes,No,1,Month-to-month,DSL,Yes,Yes,Yes,Credit card,65.78,60.25,Yes
C100180,0,No,No,45,Two year,No,No,Yes,No,Electronic check,18.0,800.08,Yes
C100181,0,Yes,No,33,Two year,DSL,No,No,No,Electronic check,42.48,1470.12,No
C100182,0,No,No,47,Two year,DSL,No,Yes,Yes,Credit card,44.06,2163.61,No
C100183,1,No,No,21,Month-to-month,DSL,No,No,No,Electronic check,55.7,1168.94,Yes
C100184,0,Yes,Yes,28,Two year,Fiber optic,No,No,No,Credit card,64.28,1753.99,No
C100185,0,Yes,No,11,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,72.14,807.87,Yes
C100186,0,Yes,No,26,Month-to-month,DSL,No,No,Yes,Credit card,50.37,1264.71,Yes
C100187,0,Yes,No,6,Month-to-month,Fiber optic,Yes,No,No,Electronic check,88.33,481.65,No
C100188,0,No,No,15,Month-to-month,No,Yes,No,No,Bank transfer,33.26,481.9,No
C100189,0,No,No,14,Month-to-month,DSL,Yes,No,No,Credit card,60.34,846.11,No
C100190,0,Yes,No,15,Month-to-month,DSL,No,No,Yes,Bank transfer,44.24,696.71,No
C100191,0,Yes,No,58,One year,Fiber optic,No,Yes,Yes,Credit card,83.95,4975.95,No
C100192,0,No,No,20,Month-to-month,DSL,No,No,Yes,Credit card,57.54,1123.22,No
C100193,0,No,No,50,One year,Fiber optic,Yes,Yes,Yes,Mailed check,70.49,3526.89,No
C100194,0,Yes,No,11,Month-to-month,DSL,No,Yes,No,Credit card,48.15,527.01,No
C100195,0,Yes,No,34,One year,DSL,Yes,Yes,Yes,Bank transfer,84.94,2953.22,No
C100196,0,Yes,No,15,Month-to-month,Fiber optic,No,No,Yes,Credit card,77.93,1084.97,Yes
C100197,0,No,No,27,Month-to-month,Fiber optic,Yes,Yes,Yes,Electronic check,90.11,2412.54,No
C100198,0,Yes,Yes,72,Two year,DSL,Yes,No,No,Electronic check,59.52,4124.26,No
C100199,0,Yes,No,24,Month-to-month,DSL,No,Yes,Yes,Electronic check,40.82,987.97,No
C100200,0,No,Yes,55,Two year,No,No,No,No,Electronic check,18.31,1021.92,No
C100201,0,No,No,56,One year,DSL,Yes,Yes,No,Bank transfer,51.07,2642.54,No
C100202,1,No,No,55,One year,DSL,Yes,Yes,Yes,Credit card,49.23,2510.0,No
C100203,0,No,No,24,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,80.04,1777.72,Yes
C100204,0,No,No,49,One year,DSL,No,Yes,No,Credit card,94.51,4542.88,No
C100205,1,No,No,1,Month-to-month,DSL,No,Yes,No,Credit card,37.78,39.44,Yes
C100206,0,Yes,No,46,Two year,No,No,Yes,Yes,Bank transfer,18.0,851.96,No
C100207,1,No,No,50,Two year,DSL,No,No,No,Mailed check,74.03,3527.33,No
C100208,0,No,Yes,46,Two year,No,No,Yes,No,Electronic check,18.0,810.13,No
C100209,0,No,Yes,17,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,84.78,1474.61,Yes
C100210,1,No,No,12,Month-to-month,DSL,Yes,No,Yes,Credit card,22.7,272.66,No
C100211,0,No,No,1,Month-to-month,DSL,No,No,Yes,Credit card,62.84,63.63,No
C100212,0,No,No,40,Month-to-month,Fiber optic,No,No,No,Electronic check,84.14,3132.33,Yes
C100213,1,No,No,22,One year,Fiber optic,Yes,Yes,No,Bank transfer,91.4,2039.45,No
C100214,0,No,Yes,42,One year,DSL,Yes,No,Yes,Mailed check,55.15,2240.17,No
C100215,0,Yes,Yes,27,Month-to-month,DSL,No,Yes,Yes,Credit card,63.28,1629.58,No
C100216,0,Yes,No,60,Two year,No,Yes,No,No,Mailed check,53.43,3269.77,No
C100217,0,No,No,33,One year,Fiber optic,Yes,Yes,Yes,Electronic check,65.6,1987.68,No
C100218,0,No,No,41,Month-to-month,Fiber optic,No,No,Yes,Electronic check,78.46,2927.64,Yes
C100219,0,Yes,Yes,27,One year,No,No,Yes,Yes,Electronic check,18.9,495.75,No
C100220,0,No,No,55,Two year,DSL,Yes,No,Yes,Electronic check,63.6,3199.5,No
C100221,1,No,Yes,12,Month-to-month,DSL,No,No,Yes,Mailed check,56.92,674.75,No
C100222,0,No,No,52,One year,No,No,Yes,No,Electronic check,26.47,1281.14,Yes
C100223,0,No,No,10,One year,Fiber optic,No,Yes,Yes,Mailed check,70.46,663.26,Yes
C100224,0,No,No,40,One year,Fiber optic,No,Yes,Yes,Credit card,83.86,3216.03,No
C100225,0,No,No,14,Month-to-month,No,Yes,Yes,Yes,Bank transfer,23.98,312.31,No
C100226,0,No,No,24,One year,No,Yes,No,No,Electronic check,35.01,840.88,No
C100227,1,No,Yes,43,One year,No,No,No,Yes,Credit card,18.0,747.22,No
C100228,0,No,No,64,Two year,Fiber optic,Yes,Yes,Yes,Credit card,83.01,4831.04,No
C100229,0,No,No,32,Two year,Fiber optic,No,No,No,Credit card,83.07,2568.13,No
C100230,1,No,No,19,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,83.08,1566.05,Yes
C100231,0,No,No,41,One year,DSL,No,Yes,Yes,Bank transfer,67.71,2788.79,No
C100232,0,No,No,67,Two year,DSL,No,Yes,No,Electronic check,59.63,3973.52,No
C100233,1,Yes,No,12,Two year,DSL,No,No,No,Credit card,49.08,565.59,No
C100234,1,No,No,29,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,83.49,2237.56,Yes
C100235,0,No,Yes,1,Month-to-month,No,No,No,Yes,Electronic check,18.0,17.18,Yes
C100236,0,No,No,23,One year,Fiber optic,Yes,No,No,Credit card,84.3,1831.89,No
C100237,1,No,Yes,39,Month-to-month,DSL,No,Yes,Yes,Credit card,83.43,2951.73,No
C100238,0,Yes,No,58,One year,Fiber optic,Yes,No,Yes,Bank transfer,76.97,4470.56,Yes
C100239,0,No,No,60,Two year,Fiber optic,No,No,Yes,Mailed check,81.82,4721.24,No
C100240,0,Yes,No,9,Month-to-month,No,Yes,Yes,No,Mailed check,48.06,449.48,No
C100241,0,Yes,No,18,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,78.28,1414.59,Yes
C100242,0,Yes,No,19,Month-to-month,DSL,No,No,Yes,Mailed check,75.16,1365.91,Yes
C100243,0,Yes,Yes,26,One year,DSL,No,No,Yes,Mailed check,57.99,1466.8,No
C100244,0,No,Yes,20,Month-to-month,DSL,No,Yes,No,Electronic check,43.9,811.19,Yes
C100245,0,No,Yes,30,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,86.98,2356.55,Yes
C100246,1,No,No,4,Month-to-month,DSL,Yes,Yes,Yes,Electronic check,40.26,156.41,No
C100247,0,Yes,No,38,One year,Fiber optic,No,Yes,No,Mailed check,76.73,2783.28,No
C100248,0,No,No,50,Two year,Fiber optic,No,No,Yes,Electronic check,76.64,3758.03,No
C100249,0,No,Yes,5,Month-to-month,No,No,No,Yes,Credit card,42.87,203.25,Yes
C100250,0,No,Yes,31,Month-to-month,No,Yes,No,Yes,Mailed check,19.32,551.88,No
C100251,0,Yes,No,1,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,63.53,60.05,Yes
C100252,0,No,No,28,Month-to-month,Fiber optic,No,No,No,Electronic check,64.8,1834.68,No
C100253,0,Yes,No,3,Month-to-month,DSL,No,Yes,Yes,Bank transfer,70.2,215.57,Yes
C100254,0,Yes,No,1,Month-to-month,Fiber optic,No,No,Yes,Credit card,81.5,79.87,Yes
C100255,0,No,No,19,Month-to-month,DSL,No,No,Yes,Electronic check,54.66,1028.78,Yes
C100256,0,Yes,Yes,28,Month-to-month,DSL,No,Yes,No,Bank transfer,66.1,1783.37,No
C100257,0,No,No,38,One year,Fiber optic,Yes,No,Yes,Mailed check,81.51,2945.8,No
C100258,0,No,Yes,40,One year,DSL,No,No,Yes,Mailed check,46.99,1930.22,No
C100259,1,Yes,No,22,Month-to-month,No,No,No,Yes,Bank transfer,18.0,377.63,Yes
C100260,0,No,No,21,Month-to-month,Fiber optic,No,No,No,Credit card,82.62,1617.44,Yes
C100261,0,Yes,Yes,12,One year,Fiber optic,No,No,No,Credit card,67.86,787.11,Yes
C100262,0,Yes,No,1,Month-to-month,No,No,No,Yes,Electronic check,33.41,33.14,Yes
C100263,0,Yes,No,1,Month-to-month,DSL,No,No,Yes,Bank transfer,61.27,61.44,Yes
C100264,0,No,No,10,Month-to-month,DSL,No,Yes,Yes,Electronic check,33.24,346.84,Yes
C100265,0,No,No,30,Month-to-month,Fiber optic,No,No,Yes,Electronic check,88.6,2515.19,Yes
C100266,0,No,No,55,Two year,No,No,No,No,Mailed check,32.14,1830.54,No
C100267,0,Yes,Yes,25,Month-to-month,DSL,No,Yes,No,Bank transfer,45.38,1072.85,No
C100268,0,Yes,No,11,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,67.54,772.19,Yes
C100269,0,Yes,Yes,72,Two year,No,No,No,No,Electronic check,18.0,1178.3,No
C100270,0,Yes,Yes,27,One year,DSL,Yes,No,No,Mailed check,52.98,1387.02,No
C100271,0,No,No,27,Month-to-month,Fiber optic,Yes,Yes,No,Electronic check,87.88,2194.5,Yes
C100272,1,Yes,No,11,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,74.2,810.76,Yes
C100273,0,No,Yes,27,Two year,Fiber optic,No,No,No,Credit card,75.76,2064.07,No
C100274,0,Yes,Yes,1,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,72.22,73.04,Yes
C100275,0,No,No,43,One year,No,No,Yes,Yes,Electronic check,19.21,745.87,No
C100276,0,Yes,No,6,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,77.89,480.27,Yes
C100277,0,Yes,No,40,One year,Fiber optic,No,Yes,Yes,Credit card,69.3,2622.44,No
