customer_id,signup_date,country,acquisition_channel
138,2023-08-16,Germany,Social
139,2023-11-26,France,Organic
140,2023-11-26,Germany,Paid Search
141,2023-11-18,Spain,Organic
142,2023-08-07,Italy,Paid Search
143,2023-07-25,Germany,Organic
144,2023-07-28,Italy,Organic
145,2023-03-26,Austria,Social
146,2023-07-09,Germany,Organic
147,2023-10-05,Spain,Organic
148,2024-05-28,Austria,Social
149,2024-04-10,Italy,Organic
150,2024-06-11,UK,Organic
151,2023-06-01,Poland,Paid Search
152,2023-09-18,Spain,Paid Search
153,2024-05-18,Germany,Paid Search
154,2024-07-31,Germany,Referral
155,2023-10-25,UK,Paid Search
156,2023-05-05,France,Social
157,2023-08-30,Germany,Referral
158,2023-09-26,Germany,Paid Search
159,2023-12-15,Italy,Email
160,2024-05-23,Spain,Paid Search
161,2023-09-16,Germany,Social
162,2024-06-23,Germany,Referral
163,2024-06-20,Germany,Organic
164,2024-05-29,Germany,Referral
165,2023-06-05,Netherlands,Paid Search
166,2024-02-18,Germany,Social
167,2023-04-06,Austria,Paid Search
168,2023-05-05,Germany,Organic
169,2024-04-27,Germany,Organic
170,2023-05-31,Italy,Referral
171,2023-05-08,France,Social
172,2024-05-09,France,Email
173,2023-09-20,Germany,Organic
174,2023-06-09,Netherlands,Organic
175,2023-07-11,France,Paid Search
176,2024-05-09,Italy,Organic
177,2023-02-20,Netherlands,Paid Search
178,2024-06-17,Poland,Referral
179,2024-05-28,Netherlands,Email
180,2023-09-10,Spain,Paid Search
181,2023-06-09,Netherlands,Paid Search
182,2023-04-14,France,Social
183,2024-07-31,Netherlands,Social
184,2023-05-19,Netherlands,Social
185,2023-04-16,Germany,Paid Search
186,2023-11-18,Netherlands,Organic
187,2024-07-25,Germany,Organic
188,2024-06-06,UK,Referral
189,2023-06-02,Germany,Social
190,2023-08-18,Germany,Referral
191,2023-03-07,Germany,Paid Search
192,2023-04-28,Germany,Paid Search
193,2023-12-22,Germany,Paid Search
194,2023-11-13,Germany,Referral
195,2023-02-21,UK,Organic
196,2023-11-10,France,Social
197,2023-05-13,Austria,Organic
198,2023-05-19,Italy,Organic
199,2023-10-05,Germany,Organic
200,2023-07-22,France,Paid Search
201,2024-07-23,France,Email
202,2023-10-29,France,Referral
203,2023-05-23,UK,Social
204,2024-03-25,Netherlands,Paid Search
205,2023-09-16,Netherlands,Email
206,2024-01-24,France,Organic
207,2023-07-21,Spain,Email
208,2023-12-21,Germany,Email
209,2023-02-27,Italy,Paid Search
210,2024-01-21,Austria,Organic
211,2023-07-16,Germany,Organic
212,2023-04-24,Spain,Paid Search
213,2023-11-27,Italy,Referral
214,2023-04-08,UK,Social
215,2023-08-08,Germany,Paid Search
216,2023-12-31,Spain,Paid Search
217,2024-03-21,France,Email
218,2023-12-21,Germany,Paid Search
219,2023-05-29,Netherlands,Organic
220,2023-09-04,France,Social
221,2023-02-26,Germany,Paid Search
222,2023-09-02,Austria,Paid Search
223,2023-08-26,Germany,Paid Search
224,2024-06-06,UK,Organic
225,2023-09-15,Netherlands,Referral
226,2023-06-03,Germany,Email
227,2023-12-15,Spain,Referral
228,2023-08-06,Netherlands,Referral
229,2024-01-16,UK,Paid Search
230,2023-09-13,UK,Paid Search
231,2023-11-14,Austria,Social
232,2023-08-15,Poland,Organic
233,2023-10-04,Germany,Referral
234,2023-09-06,France,Organic
235,2024-01-25,UK,Paid Search
236,2023-03-24,Poland,Social
237,2023-09-17,Italy,Referral
238,2023-10-11,France,Social
239,2024-07-03,Poland,Social
240,2024-03-04,France,Paid Search
241,2023-08-04,Germany,Social
242,2024-07-23,UK,Social
243,2023-11-01,France,Paid Search
244,2024-03-04,Netherlands,Email
245,2024-03-10,France,Organic
246,2024-07-28,Italy,Paid Search
247,2023-11-13,Austria,Referral
248,2024-05-21,Germany,Paid Search
249,2023-06-18,UK,Social
250,2024-05-09,Spain,Paid Search
251,2023-12-30,Germany,Referral
252,2023-11-16,Italy,Organic
253,2023-08-07,UK,Organic
254,2024-06-08,Germany,Email
255,2023-12-01,Italy,Social
256,2023-11-22,France,Paid Search
257,2023-10-10,Germany,Paid Search
258,2023-02-06,Germany,Paid Search
259,2024-04-25,Spain,Referral
260,2023-05-18,Poland,Social
261,2024-05-10,France,Referral
262,2024-04-05,Germany,Referral
263,2023-11-13,Germany,Paid Search
264,2023-04-24,Netherlands,Social
265,2023-04-07,France,Social
266,2023-11-10,France,Email
267,2023-10-16,Germany,Social
268,2023-03-13,France,Organic
269,2023-10-06,Netherlands,Referral
270,2023-03-29,UK,Social
271,2023-07-01,Germany,Email
272,2023-11-22,UK,Paid Search
273,2023-03-15,France,Paid Search
274,2023-05-22,UK,Social
275,2023-08-13,Germany,Email
276,2024-01-02,Germany,Organic
277,2023-10-04,UK,Paid Search
278,2023-04-30,Germany,Email
279,2023-09-27,Netherlands,Referral
280,2023-11-29,France,Organic
281,2023-05-30,Germany,Organic
282,2023-10-05,Netherlands,Paid Search
283,2024-07-05,France,Organic
284,2023-05-22,Germany,Organic
285,2024-03-07,Italy,Paid Search
286,2024-08-15,France,Social
287,2023-06-04,Poland,Paid Search
288,2023-05-30,Germany,Paid Search
289,2024-04-09,Poland,Referral
290,2023-06-22,Italy,Paid Search
291,2023-05-02,Germany,Email
292,2023-05-29,UK,Organic
293,2024-06-04,Netherlands,Email
294,2023-04-12,UK,Email
295,2023-03-17,France,Organic
296,2023-09-09,Austria,Social
297,2024-06-13,Spain,Social
298,2023-12-11,Austria,Paid Search
299,2023-11-24,Italy,Email
300,2024-08-07,Italy,Paid Search
301,2023-06-30,Spain,Paid Search
302,2023-12-12,Netherlands,Referral
303,2023-05-23,Poland,Organic
304,2023-10-20,Netherlands,Organic
305,2024-01-11,Germany,Organic
306,2023-11-09,UK,Referral
307,2023-11-21,Germany,Organic
308,2023-06-08,Austria,Organic
309,2023-05-08,Netherlands,Social
310,2023-05-15,UK,Email
311,2024-07-18,Germany,Paid Search
312,2023-07-23,UK,Referral
313,2023-06-18,France,Organic
314,2024-03-02,Netherlands,Social
315,2023-07-19,UK,Social
316,2023-07-26,UK,Paid Search
317,2023-08-20,Germany,Email
318,2023-10-31,UK,Social
319,2024-02-17,France,Organic
320,2023-06-05,Italy,Organic
321,2024-07-03,Poland,Organic
322,2023-12-21,Spain,Email
323,2023-07-22,Germany,Organic
324,2024-05-30,Germany,Referral
325,2024-04-09,Poland,Organic
326,2024-03-01,Austria,Referral
327,2024-10-17,Germany,Email
328,2024-04-12,Netherlands,Organic
329,2023-12-06,France,Organic
330,2024-03-25,Germany,Email
331,2024-05-02,Austria,Organic
332,2023-02-22,Poland,Organic
333,2023-02-26,Austria,Email
334,2023-05-03,Germany,Referral
335,2024-02-29,UK,Email
336,2023-08-01,Poland,Email
337,2023-03-23,Netherlands,Social
338,2023-07-11,France,Email
339,2023-11-12,UK,Paid Search
340,2024-02-06,Germany,Email
341,2023-06-20,Netherlands,Social
342,2023-12-15,Italy,Social
343,2023-12-09,Germany,Referral
344,2024-07-28,Germany,Paid Search
345,2023-11-06,UK,Social
346,2024-11-30,UK,Paid Search
347,2023-09-07,France,Organic
348,2023-08-09,Germany,Paid Search
349,2024-02-11,Spain,Referral
350,2024-05-22,Germany,Paid Search
351,2023-05-01,Netherlands,Social
352,2023-06-09,UK,Social
353,2023-11-07,France,Email
354,2024-02-07,UK,Email
355,2023-04-17,Netherlands,Organic
356,2023-11-04,UK,Paid Search
357,2024-06-28,UK,Social
358,2023-11-15,France,Organic
359,2023-12-18,France,Paid Search
360,2024-10-21,UK,Paid Search
361,2024-01-15,France,Organic
362,2024-02-25,France,Referral
363,2024-06-04,Germany,Referral
364,2024-01-28,Spain,Social
365,2023-09-14,Germany,Organic
366,2024-02-19,Poland,Referral
367,2023-12-03,Netherlands,Social
368,2023-10-16,Germany,Referral
369,2024-03-12,Netherlands,Organic
370,2023-02-12,France,Organic
371,2023-11-15,Poland,Social
372,2023-11-28,Poland,Referral
373,2023-11-03,Italy,Organic
374,2023-09-04,UK,Paid Search
375,2023-08-31,Poland,Social
376,2023-06-19,Netherlands,Referral
377,2023-12-17,Poland,Email
378,2023-09-02,Germany,Referral
379,2023-02-12,Poland,Social
380,2024-04-03,Netherlands,Email
381,2024-03-08,Germany,Paid Search
382,2023-11-23,Austria,Organic
383,2023-08-01,Netherlands,Social
384,2024-01-09,Poland,Social
385,2023-10-20,Germany,Paid Search
386,2023-05-25,UK,Organic
387,2023-08-06,Spain,Email
388,2023-05-20,Germany,Email
389,2023-09-05,Spain,Paid Search
390,2023-07-01,Netherlands,Referral
391,2024-05-22,Germany,Paid Search
392,2023-09-10,Netherlands,Organic
393,2023-03-13,Germany,Organic
394,2023-12-10,Italy,Paid Search
395,2024-01-25,Italy,Organic
396,2024-03-26,UK,Social
397,2023-05-31,UK,Email
398,2023-11-11,France,Paid Search
399,2023-03-24,France,Email
400,2023-02-21,Poland,Referral
401,2023-12-17,Germany,Paid Search
402,2023-08-28,France,Organic
403,2024-07-23,Germany,Organic
404,2023-06-25,Netherlands,Social
405,2023-11-07,Italy,Paid Search
406,2023-12-25,Germany,Social
407,2023-06-21,Germany,Social
408,2023-11-12,Germany,Social
409,2023-07-27,Germany,Organic
410,2024-02-13,France,Organic
411,2023-10-11,Spain,Paid Search
412,2023-06-18,UK,Email
413,2023-08-01,Germany,Social
414,2023-06-28,Netherlands,Social
415,2023-06-18,Italy,Social
416,2023-10-08,France,Paid Search
417,2023-09-13,Germany,Organic
418,2023-06-18,Spain,Organic
419,2024-01-01,Germany,Organic
420,2023-10-03,Italy,Organic
421,2023-08-10,Italy,Paid Search
422,2023-08-12,Poland,Email
423,2023-06-24,Germany,Organic
424,2024-05-25,Germany,Organic
425,2024-06-25,Poland,Organic
426,2024-04-11,France,Organic
427,2024-07-24,France,Organic
428,2023-09-10,UK,Organic
429,2024-01-09,Germany,Organic
430,2023-02-11,Netherlands,Referral
431,2023-12-22,Austria,Paid Search
432,2023-10-17,Netherlands,Organic
433,2023-03-03,France,Paid Search
434,2023-09-02,Austria,Organic
435,2024-08-12,Netherlands,Social
436,2023-06-03,Germany,Paid Search
437,2024-04-09,Netherlands,Email
438,2023-06-05,Germany,Referral
439,2024-05-29,Germany,Social
440,2023-10-18,Netherlands,Organic
441,2023-07-07,Germany,Paid Search
442,2024-08-04,Germany,Paid Search
443,2023-06-04,Netherlands,Email
444,2023-10-25,Germany,Organic
445,2024-03-18,UK,Social
446,2023-03-28,Germany,Paid Search
447,2023-02-19,Netherlands,Paid Search
448,2023-11-10,Poland,Paid Search
449,2023-09-09,Germany,Paid Search
450,2023-07-03,Spain,Social
451,2024-04-30,Germany,Social
452,2024-06-28,Germany,Organic
453,2023-11-29,France,Organic
454,2024-03-02,Germany,Email
455,2023-11-08,Germany,Paid Search
456,2024-01-28,Spain,Social
457,2023-09-05,Italy,Paid Search
458,2023-11-18,Austria,Social
459,2023-06-09,Poland,Social
460,2023-11-03,France,Organic
461,2023-04-08,Germany,Paid Search
462,2023-09-03,Germany,Paid Search
463,2023-04-29,UK,Organic
464,2023-07-07,Italy,Social
465,2024-01-26,Germany,Organic
466,2023-12-08,Germany,Organic
467,2023-12-13,France,Email
468,2023-01-26,Poland,Email
469,2023-02-09,France,Organic
470,2023-09-24,Spain,Social
471,2023-09-10,France,Organic
472,2024-04-15,France,Social
473,2023-06-15,France,Paid Search
474,2023-03-26,Spain,Email
475,2024-02-13,Spain,Paid Search
476,2023-09-14,France,Paid Search
477,2024-11-19,Germany,Email
478,2024-07-27,Germany,Organic
479,2023-10-23,Germany,Organic
480,2023-08-03,Germany,Paid Search
481,2024-02-25,Germany,Social
482,2023-10-11,Netherlands,Organic
483,2023-07-15,Italy,Social
484,2024-08-05,Spain,Paid Search
485,2023-04-20,Spain,Social
486,2024-04-21,Austria,Referral
487,2023-11-03,Austria,Paid Search
488,2023-06-18,Germany,Social
489,2023-08-05,Germany,Paid Search
490,2023-12-20,Germany,Organic
491,2024-02-21,Poland,Email
492,2024-02-03,Germany,Email
493,2023-09-18,France,Email
494,2023-08-18,UK,Referral
495,2023-11-26,Netherlands,Paid Search
496,2023-03-22,UK,Social
497,2023-12-25,Spain,Organic
498,2023-04-27,UK,Referral
499,2023-06-20,Italy,Social
500,2024-06-26,Germany,Organic
501,2023-07-23,Italy,Email
502,2023-09-21,UK,Social
503,2023-06-05,Germany,Referral
504,2023-06-30,Austria,Email
505,2024-03-07,Poland,Email
506,2023-09-25,Italy,Paid Search
507,2023-06-17,Poland,Paid Search
508,2024-01-08,France,Email
509,2024-04-01,Germany,Organic
510,2023-04-28,Germany,Organic
511,2023-09-10,Poland,Referral
512,2024-07-09,Italy,Referral
513,2023-10-06,Austria,Referral
514,2023-03-26,Italy,Organic
515,2023-06-11,Netherlands,Organic
516,2024-01-25,Germany,Referral
517,2023-02-18,Germany,Organic
518,2024-07-20,France,Paid Search
519,2024-04-22,Spain,Paid Search
520,2024-02-22,Germany,Email
521,2023-06-29,Poland,Paid Search
522,2023-10-16,Netherlands,Organic
523,2023-12-29,Germany,Paid Search
524,2023-07-30,Poland,Organic
525,2024-06-16,UK,Social
526,2023-09-01,Spain,Social
527,2023-12-04,France,Social
528,2023-09-11,France,Paid Search
529,2023-06-24,Germany,Organic
530,2024-04-22,UK,Organic
531,2023-12-03,Spain,Referral
532,2023-06-04,Austria,Paid Search
533,2023-11-30,Poland,Paid Search
534,2024-08-29,Germany,Paid Search
535,2023-07-05,Austria,Referral
536,2024-01-10,Germany,Email
537,2023-10-03,Germany,Organic
538,2024-03-04,Spain,Social
539,2024-01-10,Poland,Paid Search
540,2023-09-28,Austria,Email
541,2023-07-29,Italy,Referral
542,2023-10-09,Germany,Social
543,2024-10-16,Germany,Email
544,2023-05-03,Germany,Paid Search
545,2024-05-07,UK,Paid Search
546,2023-11-20,UK,Social
547,2023-11-09,Germany,Social
548,2023-07-16,France,Organic
549,2023-06-19,UK,Paid Search
550,2023-09-14,Spain,Organic
551,2023-06-14,France,Organic
552,2023-07-05,Germany,Email
553,2024-03-05,Netherlands,Organic
554,2023-05-18,Netherlands,Email
555,2024-05-18,Germany,Paid Search
556,2023-06-10,Germany,Social
557,2023-04-02,Austria,Referral
558,2023-03-21,Spain,Email
559,2023-03-28,Germany,Email
560,2023-04-15,UK,Organic
561,2024-01-08,UK,Paid Search
562,2024-10-23,Germany,Social
563,2023-09-09,Germany,Email
564,2024-08-07,Austria,Email
565,2023-09-28,UK,Social
566,2024-04-05,Germany,Organic
567,2023-05-03,Italy,Organic
568,2024-01-03,France,Referral
569,2023-09-30,Netherlands,Social
570,2023-08-15,Germany,Email
571,2023-07-23,Germany,Social
572,2023-09-20,Germany,Referral
573,2023-06-19,Austria,Email
574,2023-12-18,Netherlands,Organic
575,2024-01-28,Italy,Email
576,2023-04-11,Germany,Paid Search
577,2023-08-16,Spain,Paid Search
578,2023-05-11,UK,Email
579,2024-02-18,Netherlands,Paid Search
580,2024-01-08,France,Organic
581,2024-04-10,Netherlands,Social
582,2024-10-14,Germany,Referral
583,2024-02-08,Germany,Organic
584,2024-01-26,Italy,Social
585,2024-03-01,Germany,Paid Search
586,2023-07-13,Germany,Paid Search
587,2024-05-14,Poland,Social
588,2024-03-16,Germany,Social
589,2023-10-06,UK,Email
590,2023-11-01,Italy,Social
591,2023-12-08,Spain,Referral
592,2024-03-19,Germany,Email
593,2024-07-16,UK,Organic
594,2024-09-20,UK,Email
595,2023-05-08,France,Social
596,2023-10-19,Spain,Organic
597,2023-07-15,Austria,Social
598,2023-05-25,Germany,Email
599,2023-02-15,Germany,Organic
600,2023-02-11,Spain,Paid Search
601,2023-05-17,France,Paid Search
602,2023-01-27,Italy,Paid Search
603,2023-05-17,Germany,Email
604,2024-04-21,Germany,Organic
605,2023-06-14,Netherlands,Email
606,2023-04-05,Austria,Email
607,2024-02-14,Germany,Paid Search
608,2024-03-03,Italy,Paid Search
609,2024-03-16,France,Organic
610,2024-02-03,Germany,Organic
611,2024-09-02,UK,Paid Search
612,2023-05-08,Germany,Organic
613,2023-08-17,Netherlands,Email
614,2024-02-24,Germany,Social
615,2024-03-11,UK,Organic
616,2023-01-31,Germany,Paid Search
617,2024-04-08,Italy,Email
618,2023-09-14,Poland,Organic
619,2024-02-25,France,Social
620,2023-11-01,France,Organic
621,2024-03-04,Austria,Referral
622,2023-06-12,Germany,Paid Search
623,2023-10-13,Italy,Paid Search
624,2024-01-03,UK,Social
625,2023-07-01,Poland,Paid Search
626,2023-10-24,Germany,Social
627,2024-01-13,Germany,Organic
628,2023-05-01,Germany,Organic
629,2023-06-29,Germany,Organic
630,2024-01-30,Germany,Social
631,2023-12-27,Austria,Email
632,2023-02-27,Germany,Organic
633,2023-09-13,Germany,Email
634,2023-04-05,Germany,Email
635,2023-12-24,France,Organic
636,2023-02-23,UK,Organic
637,2023-09-03,Germany,Paid Search
638,2023-06-03,Italy,Organic
639,2023-05-07,Italy,Email
640,2023-10-04,Germany,Paid Search
641,2023-09-23,Italy,Paid Search
642,2023-03-23,France,Social
643,2023-12-31,France,Organic
644,2023-09-26,Poland,Email
645,2023-06-29,Poland,Social
646,2024-04-14,France,Paid Search
647,2023-08-10,UK,Paid Search
648,2024-03-02,Germany,Organic
649,2023-06-27,UK,Referral
650,2023-03-14,Netherlands,Paid Search
651,2023-10-31,Germany,Email
652,2023-08-31,Poland,Referral
653,2023-06-21,Spain,Paid Search
654,2023-05-27,Germany,Social
655,2024-02-01,Italy,Social
656,2023-06-28,Spain,Organic
657,2023-11-15,Germany,Referral
658,2024-01-21,UK,Paid Search
659,2023-11-14,Italy,Email
660,2024-11-02,Austria,Social
661,2023-08-14,Germany,Organic
662,2023-05-05,Netherlands,Paid Search
663,2023-12-25,Italy,Organic
664,2023-11-24,Austria,Organic
665,2023-04-14,Germany,Social
666,2023-11-02,UK,Organic
667,2023-10-26,Poland,Referral
668,2023-11-27,Germany,Paid Search
669,2023-11-23,France,Paid Search
670,2023-04-14,UK,Organic
671,2023-06-06,UK,Organic
672,2024-02-10,Spain,Social
673,2023-03-19,Germany,Paid Search
674,2024-10-06,Spain,Social
675,2023-07-21,Germany,Social
676,2023-05-08,Italy,Organic
677,2024-03-13,France,Paid Search
678,2024-02-21,Germany,Paid Search
679,2023-09-05,Austria,Organic
680,2023-08-26,Spain,Email
681,2023-09-17,France,Organic
682,2023-05-24,Germany,Organic
683,2024-08-02,UK,Paid Search
684,2024-04-19,Austria,Paid Search
685,2024-02-26,Germany,Referral
686,2024-03-23,Austria,Email
687,2023-08-28,Germany,Email
688,2023-02-20,Spain,Paid Search
689,2023-03-30,France,Paid Search
690,2023-11-14,Germany,Organic
691,2023-04-06,Poland,Email
692,2023-12-02,Germany,Paid Search
693,2023-05-01,Austria,Paid Search
694,2023-10-27,Germany,Social
695,2023-08-19,Germany,Email
696,2023-06-07,Poland,Paid Search
697,2023-11-15,Netherlands,Organic
698,2024-05-29,Germany,Referral
699,2024-07-01,UK,Organic
700,2023-05-08,Germany,Referral
701,2023-09-22,Poland,Paid Search
702,2023-10-21,Germany,Referral
703,2024-03-23,UK,Referral
704,2023-05-08,Germany,Paid Search
705,2024-03-25,Netherlands,Email
706,2023-06-06,Poland,Organic
707,2023-10-31,Italy,Organic
708,2023-12-06,France,Paid Search
709,2023-07-15,Germany,Social
710,2023-09-22,Germany,Organic
711,2023-06-29,Poland,Paid Search
712,2024-02-11,Germany,Referral
713,2023-05-17,Netherlands,Email
714,2023-02-27,France,Organic
715,2024-03-11,Austria,Paid Search
716,2023-09-08,UK,Organic
717,2023-06-25,UK,Organic
718,2023-10-07,Poland,Referral
719,2023-11-02,Austria,Referral
720,2023-07-18,UK,Organic
721,2023-11-28,Italy,Organic
722,2023-08-04,Netherlands,Paid Search
723,2023-05-16,France,Paid Search
724,2023-10-12,Germany,Organic
725,2023-07-08,Spain,Organic
726,2023-01-13,Spain,Paid Search
727,2024-02-02,Germany,Organic
728,2024-01-23,Germany,Email
729,2023-12-30,Spain,Email
730,2023-06-17,Germany,Paid Search
731,2023-10-01,Netherlands,Paid Search
732,2023-04-14,Spain,Email
733,2023-08-08,France,Organic
734,2023-08-15,Germany,Email
735,2024-02-19,France,Organic
736,2023-01-30,France,Referral
737,2024-04-11,UK,Organic
738,2023-11-14,Spain,Email
739,2023-09-20,Italy,Organic
740,2024-02-16,Germany,Email
741,2024-01-27,Spain,Social
742,2023-07-26,Germany,Organic
743,2024-02-27,Italy,Email
744,2023-10-25,Germany,Organic
745,2023-10-18,UK,Paid Search
746,2024-08-17,UK,Paid Search
747,2024-07-09,Germany,Email
748,2024-07-09,Austria,Email
749,2023-05-20,Germany,Paid Search
750,2024-02-20,Germany,Email
751,2023-12-30,Netherlands,Referral
752,2023-09-25,UK,Social
753,2023-06-27,Germany,Paid Search
754,2023-04-03,Germany,Paid Search
755,2023-11-13,Germany,Organic
756,2023-12-21,Italy,Paid Search
757,2023-10-11,UK,Organic
758,2023-09-10,Germany,Email
759,2023-08-06,France,Social
760,2023-06-12,Poland,Social
761,2023-06-17,Poland,Organic
762,2023-08-08,Germany,Organic
763,2023-10-30,Netherlands,Email
764,2024-03-16,Germany,Paid Search
765,2023-08-22,Germany,Referral
766,2024-01-15,Italy,Paid Search
767,2024-06-20,Poland,Organic
768,2023-06-03,Germany,Social
769,2023-04-13,Poland,Social
770,2023-10-01,Spain,Organic
771,2023-07-05,Spain,Social
772,2024-02-23,Italy,Organic
773,2024-02-10,UK,Organic
774,2024-02-01,Austria,Organic
775,2023-12-14,Germany,Social
776,2024-01-29,UK,Social
777,2023-04-19,Germany,Organic
778,2023-10-21,Italy,Email
779,2023-10-23,Germany,Email
780,2023-09-11,France,Paid Search
781,2023-03-22,Spain,Organic
782,2023-09-03,Germany,Organic
783,2023-10-03,Germany,Organic
784,2023-08-30,Germany,Referral
785,2023-06-20,Spain,Email
786,2023-07-19,Germany,Organic
787,2023-05-27,France,Paid Search
788,2023-11-27,UK,Organic
789,2023-12-02,Austria,Organic
790,2023-12-31,Italy,Paid Search
791,2023-03-02,Germany,Organic
792,2024-06-03,Poland,Organic
793,2024-06-06,Italy,Paid Search
794,2023-12-11,Spain,Paid Search
795,2023-10-28,UK,Paid Search
796,2024-03-10,Germany,Paid Search
797,2023-05-19,Spain,Paid Search
798,2024-03-30,UK,Paid Search
799,2024-01-23,Germany,Paid Search
800,2024-02-03,Germany,Referral
801,2023-08-16,Germany,Organic
802,2024-01-31,UK,Social
803,2023-03-27,Germany,Organic
804,2024-03-13,Netherlands,Paid Search
805,2023-02-16,Italy,Paid Search
806,2023-11-29,Germany,Email
807,2024-05-27,Germany,Referral
808,2023-05-28,Germany,Paid Search
809,2024-05-10,France,Organic
810,2023-11-07,Italy,Email
811,2023-12-31,Netherlands,Organic
812,2024-05-19,Italy,Paid Search
813,2023-03-07,Austria,Email
814,2023-12-03,Germany,Paid Search
815,2023-07-19,Netherlands,Social
816,2024-01-02,France,Organic
817,2023-02-21,UK,Organic
818,2023-09-10,Germany,Referral
819,2023-10-26,France,Organic
820,2023-05-07,Netherlands,Paid Search
