order_id,customer_id,order_date,channel,status
228,2450,2024-03-16,Social,completed
229,3601,2023-05-04,Organic,returned
230,917,2024-07-09,Referral,completed
231,1388,2024-03-30,Referral,completed
232,1550,2024-07-09,Email,completed
233,1550,2024-08-26,Social,completed
234,2259,2024-05-10,Email,completed
235,248,2024-12-28,Paid Search,completed
236,3120,2024-10-07,Organic,completed
237,502,2024-08-19,Paid Search,completed
238,3259,2024-10-13,Email,completed
239,69,2024-07-14,Paid Search,completed
240,3151,2024-12-27,Paid Search,completed
241,1408,2023-11-08,Organic,cancelled
242,2642,2024-06-03,Email,completed
243,739,2024-08-11,Social,completed
244,2160,2024-11-05,Paid Search,completed
245,1201,2024-06-20,Paid Search,completed
246,15,2024-03-30,Social,completed
247,2925,2024-06-08,Organic,cancelled
248,543,2024-12-02,Organic,completed
249,3755,2023-09-20,Organic,completed
250,2187,2024-06-26,Organic,completed
251,7,2024-06-15,Organic,completed
252,3776,2024-03-01,Organic,returned
253,551,2023-10-27,Email,completed
254,3342,2024-08-14,Organic,returned
255,1323,2023-06-25,Email,completed
256,2286,2024-03-11,Social,completed
257,3347,2024-11-01,Organic,completed
258,206,2024-04-04,Paid Search,completed
259,2729,2023-08-14,Social,completed
260,616,2024-12-19,Organic,completed
261,2883,2024-04-16,Organic,completed
262,667,2024-02-19,Organic,completed
263,97,2024-08-19,Email,completed
264,650,2023-03-18,Organic,completed
265,2520,2024-08-15,Social,returned
266,3948,2024-05-09,Organic,returned
267,3885,2024-03-04,Social,completed
268,3000,2024-11-20,Organic,completed
269,3305,2024-10-13,Paid Search,returned
270,3498,2024-10-21,Email,completed
271,2132,2024-10-05,Email,completed
272,923,2024-11-16,Paid Search,completed
273,2664,2024-04-30,Organic,completed
274,588,2024-04-30,Email,completed
275,3338,2023-09-28,Paid Search,completed
276,1622,2023-09-05,Organic,completed
277,1071,2024-11-30,Referral,returned
278,3376,2024-08-13,Paid Search,returned
279,454,2024-03-15,Referral,returned
280,3906,2024-01-07,Paid Search,completed
281,3796,2024-06-19,Paid Search,completed
282,2458,2024-05-22,Paid Search,completed
283,2862,2024-09-29,Paid Search,cancelled
284,151,2024-11-24,Paid Search,completed
285,1741,2024-08-20,Email,completed
286,3551,2024-06-23,Organic,completed
287,47,2024-10-04,Organic,completed
288,1166,2024-05-23,Email,completed
289,1405,2024-11-14,Referral,completed
290,2711,2023-07-14,Paid Search,returned
291,2832,2024-06-19,Organic,completed
292,265,2024-04-21,Organic,completed
293,879,2024-01-06,Social,completed
294,3308,2024-01-08,Email,completed
295,785,2023-07-04,Social,completed
296,1153,2024-09-01,Email,completed
297,672,2024-03-15,Paid Search,completed
298,3036,2023-11-21,Referral,completed
299,114,2024-08-02,Social,completed
300,1211,2024-01-17,Social,completed
301,2144,2024-06-09,Social,completed
302,21,2024-05-08,Organic,completed
303,3813,2024-11-04,Email,completed
304,3479,2023-07-01,Organic,completed
305,2611,2024-02-22,Organic,completed
306,1748,2024-08-05,Referral,completed
307,649,2024-10-15,Organic,completed
308,2229,2024-01-14,Referral,completed
309,965,2024-01-13,Email,cancelled
310,2570,2024-04-02,Social,completed
311,601,2023-08-15,Email,completed
312,2886,2024-01-05,Email,completed
313,1295,2024-11-22,Social,completed
314,2017,2023-12-01,Social,completed
315,670,2023-10-01,Social,completed
316,1034,2024-12-09,Organic,completed
317,1794,2024-09-07,Social,completed
318,1829,2024-02-05,Organic,cancelled
319,3998,2024-11-03,Email,completed
320,1343,2024-06-07,Social,completed
321,343,2024-11-04,Organic,completed
322,2109,2023-05-28,Referral,returned
323,1293,2024-03-16,Referral,completed
324,3518,2024-06-12,Social,completed
325,850,2024-12-30,Organic,completed
326,3416,2024-09-30,Email,completed
327,2674,2023-07-13,Referral,completed
328,773,2024-12-21,Organic,completed
329,1594,2023-12-28,Paid Search,completed
330,1972,2024-04-06,Referral,completed
331,2100,2023-10-25,Email,completed
332,1562,2024-11-09,Referral,completed
333,2361,2024-06-05,Social,completed
334,2884,2024-12-14,Organic,completed
335,2034,2024-09-19,Social,completed
336,2430,2024-01-23,Paid Search,completed
337,3431,2024-10-02,Social,completed
338,2000,2023-12-03,Paid Search,completed
339,1644,2024-06-21,Email,completed
340,1002,2024-11-29,Social,completed
341,544,2024-12-16,Paid Search,completed
342,1174,2024-11-30,Organic,completed
343,1597,2024-04-17,Social,completed
344,3074,2024-09-26,Email,completed
345,879,2024-03-26,Referral,completed
346,2822,2024-11-05,Referral,completed
347,321,2024-09-21,Organic,completed
348,662,2024-02-03,Social,completed
349,1305,2024-04-26,Social,completed
350,1878,2024-10-05,Organic,completed
351,743,2024-03-09,Paid Search,returned
352,455,2024-10-28,Social,completed
353,2276,2024-12-06,Referral,completed
354,1622,2024-03-02,Organic,completed
355,1643,2024-12-09,Social,completed
356,1238,2024-10-26,Paid Search,completed
357,1465,2024-10-08,Paid Search,returned
358,757,2024-11-12,Organic,completed
359,1085,2023-11-09,Email,returned
360,2181,2024-08-22,Organic,completed
361,2102,2023-11-14,Social,completed
362,3629,2024-12-19,Organic,completed
363,3338,2024-06-26,Paid Search,completed
364,28,2024-09-23,Social,completed
365,929,2024-01-28,Paid Search,completed
366,3564,2024-01-26,Organic,completed
367,1261,2023-11-09,Email,completed
368,1913,2024-03-20,Paid Search,completed
369,2710,2024-01-26,Paid Search,completed
370,2186,2023-12-18,Social,completed
371,16,2024-12-03,Social,completed
372,842,2024-09-28,Referral,completed
373,415,2024-04-16,Organic,completed
374,692,2024-11-02,Social,completed
375,610,2024-08-15,Organic,completed
376,2512,2024-11-08,Organic,completed
377,1600,2024-09-17,Email,completed
378,270,2024-07-13,Referral,completed
379,335,2024-05-23,Paid Search,returned
380,3796,2024-08-21,Paid Search,completed
381,647,2024-09-06,Social,completed
382,1026,2023-06-04,Social,completed
383,2311,2024-06-19,Email,completed
384,769,2024-10-17,Paid Search,completed
385,807,2024-12-26,Social,completed
386,299,2024-07-24,Organic,completed
387,3930,2023-07-20,Email,completed
388,2447,2024-04-29,Social,completed
389,2137,2023-07-18,Social,completed
390,3567,2024-10-31,Organic,completed
391,2399,2024-05-14,Organic,returned
392,1058,2024-05-14,Organic,completed
393,1887,2024-03-23,Organic,completed
394,1913,2024-09-21,Paid Search,returned
395,1565,2024-11-25,Paid Search,completed
396,3032,2024-05-30,Organic,completed
397,449,2023-12-09,Paid Search,completed
398,663,2024-02-03,Paid Search,completed
399,1467,2024-08-13,Organic,completed
400,295,2023-06-09,Organic,completed
401,3953,2024-09-03,Social,completed
402,1988,2024-05-22,Referral,completed
403,206,2024-06-14,Organic,cancelled
404,2453,2023-11-27,Paid Search,completed
405,3125,2024-11-26,Organic,completed
406,1607,2024-09-03,Organic,completed
407,1922,2024-07-10,Organic,cancelled
408,2815,2024-01-13,Paid Search,completed
409,948,2024-03-05,Paid Search,completed
410,2410,2024-10-15,Paid Search,completed
411,2540,2024-10-29,Paid Search,completed
412,3219,2024-07-17,Paid Search,completed
413,3577,2024-03-03,Paid Search,completed
414,3760,2024-11-25,Organic,completed
415,520,2024-08-25,Organic,completed
416,3270,2024-04-08,Organic,completed
417,2713,2023-05-03,Social,completed
418,1462,2024-04-29,Paid Search,completed
419,3698,2024-06-29,Organic,completed
420,3435,2024-12-16,Organic,completed
421,3105,2023-04-19,Social,completed
422,232,2024-02-08,Referral,completed
423,731,2024-01-26,Organic,completed
424,3681,2024-08-24,Social,completed
425,3936,2024-10-11,Organic,completed
426,1116,2023-09-23,Organic,completed
427,1116,2024-11-25,Organic,completed
428,2463,2024-02-21,Paid Search,completed
429,309,2024-08-03,Organic,completed
430,2401,2024-08-30,Paid Search,returned
431,3876,2024-02-28,Referral,completed
432,1189,2024-10-20,Organic,completed
433,2990,2024-09-03,Social,completed
434,2112,2024-09-25,Organic,completed
435,1157,2024-06-12,Social,completed
436,1625,2024-08-21,Email,completed
437,2218,2024-06-23,Organic,completed
438,3066,2024-08-19,Paid Search,completed
439,2174,2024-11-06,Paid Search,completed
440,3704,2024-06-30,Email,completed
441,476,2024-10-05,Organic,completed
442,3830,2024-12-24,Paid Search,cancelled
443,2217,2023-11-21,Organic,completed
444,1540,2024-09-11,Social,completed
445,309,2024-10-30,Paid Search,cancelled
446,1187,2023-07-26,Paid Search,completed
447,1742,2024-07-03,Organic,completed
448,3746,2024-02-29,Paid Search,completed
449,3045,2024-11-15,Email,completed
450,239,2024-12-26,Social,cancelled
451,1318,2024-11-27,Email,completed
452,1970,2024-09-24,Social,completed
453,3400,2024-08-21,Social,completed
454,3111,2023-11-16,Email,completed
455,874,2024-12-21,Paid Search,completed
456,208,2024-12-09,Social,completed
457,548,2024-05-29,Organic,completed
458,2019,2023-05-20,Organic,completed
459,363,2024-12-19,Paid Search,completed
460,1008,2024-11-21,Paid Search,cancelled
461,3293,2024-12-25,Organic,completed
462,1581,2024-08-27,Paid Search,completed
463,3984,2024-02-18,Social,completed
464,3043,2024-07-12,Social,returned
465,1064,2024-02-15,Organic,completed
466,30,2024-12-16,Referral,completed
467,2125,2023-12-17,Social,completed
468,2836,2024-04-25,Organic,completed
469,1876,2024-11-22,Organic,completed
470,3631,2023-12-20,Email,completed
471,3084,2024-09-05,Paid Search,completed
472,2093,2024-09-26,Organic,completed
473,79,2024-05-08,Organic,completed
474,1354,2024-04-09,Organic,completed
475,1981,2024-10-23,Email,completed
476,1010,2024-01-31,Social,completed
477,3353,2024-08-24,Paid Search,completed
478,1681,2024-12-14,Paid Search,completed
479,833,2024-03-15,Referral,completed
480,3120,2024-07-26,Social,completed
481,2456,2024-01-04,Social,completed
482,805,2024-07-03,Organic,returned
483,2146,2024-02-14,Referral,completed
484,2790,2024-05-24,Social,completed
485,1787,2024-08-29,Organic,completed
486,1213,2024-03-18,Referral,completed
487,2769,2024-05-11,Paid Search,completed
488,2755,2024-11-12,Organic,completed
489,69,2024-03-10,Paid Search,completed
490,949,2024-11-02,Email,completed
491,2606,2024-09-04,Paid Search,completed
492,904,2024-03-17,Paid Search,completed
493,3850,2024-01-20,Paid Search,completed
494,673,2024-07-07,Referral,completed
495,3006,2024-07-25,Organic,completed
496,3992,2024-09-28,Organic,completed
497,1387,2024-06-24,Email,completed
498,2432,2024-12-07,Organic,completed
499,432,2024-02-20,Paid Search,completed
500,2509,2024-11-06,Email,returned
501,3954,2024-02-12,Organic,completed
502,3898,2023-09-24,Organic,completed
503,1621,2024-03-22,Paid Search,completed
504,3289,2024-01-10,Social,completed
505,3314,2023-10-16,Paid Search,completed
506,1314,2024-03-29,Email,completed
507,3299,2024-12-17,Organic,completed
508,672,2024-11-26,Organic,completed
509,3924,2024-12-19,Email,completed
510,3455,2023-10-22,Paid Search,completed
511,2054,2023-12-13,Paid Search,completed
512,1517,2023-10-04,Referral,completed
513,3781,2024-08-16,Organic,completed
514,295,2024-12-16,Social,completed
515,2005,2024-07-16,Social,completed
516,1949,2024-07-24,Paid Search,completed
517,1501,2024-05-17,Organic,completed
518,457,2024-07-04,Organic,completed
519,1014,2024-12-06,Social,completed
520,3938,2024-08-23,Organic,completed
521,3232,2024-08-17,Organic,completed
522,3355,2024-02-25,Paid Search,returned
523,2049,2024-05-26,Social,completed
524,2666,2024-07-07,Email,completed
525,2026,2024-09-10,Social,completed
526,2721,2024-08-25,Social,completed
527,3453,2024-04-01,Organic,completed
528,976,2024-05-26,Organic,completed
529,3799,2023-10-13,Organic,completed
530,3663,2024-04-26,Social,completed
531,1656,2023-09-07,Social,completed
532,3915,2024-10-24,Organic,completed
533,3543,2023-10-04,Social,completed
534,163,2024-12-23,Social,completed
535,171,2023-11-27,Social,completed
536,2844,2023-11-22,Referral,completed
537,3131,2024-10-29,Organic,completed
538,1004,2023-08-08,Social,completed
539,2005,2024-12-05,Organic,completed
540,2166,2024-06-18,Organic,completed
541,1774,2023-10-12,Organic,completed
542,286,2024-12-25,Paid Search,cancelled
543,882,2024-03-14,Organic,completed
544,3264,2023-07-24,Email,completed
545,300,2024-12-16,Paid Search,completed
546,2509,2024-08-16,Social,completed
547,2553,2024-10-02,Social,returned
548,3825,2024-10-27,Email,completed
549,3954,2024-11-18,Organic,completed
550,3777,2024-07-14,Organic,completed
551,2175,2024-04-07,Social,completed
552,170,2024-12-20,Email,returned
553,1116,2024-08-10,Organic,returned
554,1902,2024-11-14,Paid Search,completed
555,161,2024-05-09,Paid Search,completed
556,151,2024-07-03,Referral,completed
557,1299,2024-04-11,Social,completed
558,1524,2024-04-09,Referral,completed
559,2340,2024-05-31,Paid Search,completed
560,3733,2024-03-08,Organic,completed
561,1538,2023-05-08,Social,completed
562,195,2024-08-24,Email,completed
563,2170,2024-02-01,Paid Search,completed
564,1414,2024-04-19,Organic,completed
565,3614,2024-05-14,Organic,completed
566,1715,2024-03-23,Social,returned
567,1293,2023-11-13,Organic,completed
568,2921,2024-05-14,Organic,completed
569,1976,2023-07-20,Social,completed
570,2238,2024-08-23,Social,completed
571,633,2024-05-27,Paid Search,completed
572,1479,2024-06-16,Email,completed
573,187,2024-08-15,Paid Search,completed
574,3037,2024-03-04,Paid Search,completed
575,991,2024-03-08,Referral,completed
576,489,2023-10-09,Organic,completed
577,2378,2024-03-07,Organic,completed
578,2333,2024-05-26,Paid Search,completed
579,1266,2023-05-14,Paid Search,completed
580,3849,2023-10-06,Email,returned
581,2559,2024-09-05,Paid Search,cancelled
582,3708,2023-09-22,Social,completed
583,1207,2024-01-16,Social,completed
584,2220,2024-12-24,Paid Search,completed
585,1631,2024-08-30,Email,returned
586,1629,2024-07-23,Organic,completed
587,193,2024-10-22,Email,completed
588,885,2024-03-26,Social,completed
589,3479,2024-02-09,Referral,returned
590,3399,2024-07-21,Organic,cancelled
591,429,2024-03-20,Organic,completed
592,75,2024-07-06,Organic,completed
593,417,2024-12-13,Organic,completed
594,2574,2024-01-04,Email,completed
595,967,2024-11-03,Social,completed
596,3067,2024-07-16,Paid Search,completed
597,20,2024-08-04,Social,completed
598,2878,2024-06-13,Organic,completed
599,3558,2024-08-01,Paid Search,completed
600,179,2024-09-22,Paid Search,completed
601,3468,2024-08-02,Referral,completed
602,3681,2024-11-17,Paid Search,completed
603,2159,2024-11-17,Paid Search,completed
604,1144,2023-11-28,Referral,completed
605,2266,2023-06-12,Email,cancelled
606,1246,2024-09-06,Social,completed
607,3734,2023-07-21,Organic,completed
608,2187,2024-10-28,Organic,completed
609,3195,2023-12-12,Organic,returned
610,2462,2024-07-01,Email,completed
611,1159,2023-10-23,Referral,completed
612,2010,2023-11-19,Social,completed
613,3529,2024-10-06,Email,completed
614,1508,2024-10-29,Paid Search,completed
615,1363,2024-12-14,Organic,completed
616,3825,2024-11-18,Social,completed
617,1336,2024-09-27,Email,completed
618,3431,2024-08-30,Email,completed
619,736,2023-09-14,Organic,completed
620,3166,2024-11-26,Referral,completed
621,2482,2024-06-07,Paid Search,completed
622,489,2024-05-14,Paid Search,completed
623,260,2024-01-09,Paid Search,completed
624,1197,2024-06-12,Organic,completed
625,2649,2023-10-01,Paid Search,completed
626,1418,2024-06-22,Social,completed
627,1088,2024-12-11,Referral,completed
628,2345,2024-09-25,Referral,completed
629,3808,2024-10-24,Organic,completed
630,497,2024-09-15,Organic,completed
631,2598,2024-08-05,Organic,completed
632,3658,2024-11-29,Paid Search,completed
633,2175,2024-08-02,Paid Search,completed
634,3858,2024-11-17,Paid Search,returned
635,2412,2024-02-08,Organic,completed
636,2704,2024-09-03,Organic,completed
637,3165,2024-05-07,Social,completed
638,815,2023-07-29,Email,completed
639,2255,2024-02-24,Email,completed
640,2478,2024-11-21,Organic,returned
641,489,2024-06-07,Paid Search,completed
642,1817,2023-08-28,Referral,completed
643,3092,2024-12-17,Referral,completed
644,165,2024-11-19,Referral,returned
645,1631,2024-11-18,Email,completed
646,601,2023-11-01,Social,completed
647,727,2024-05-10,Email,completed
648,2062,2024-12-04,Referral,completed
649,123,2024-01-24,Social,completed
650,1682,2023-10-24,Organic,completed
651,109,2023-10-03,Organic,completed
652,3705,2024-09-12,Social,completed
653,3544,2024-05-24,Social,returned
654,858,2024-12-08,Paid Search,completed
655,268,2024-08-23,Organic,completed
656,1011,2024-12-22,Organic,completed
657,117,2024-08-09,Referral,returned
658,2963,2024-07-08,Organic,cancelled
659,2309,2024-07-29,Email,completed
660,2187,2024-12-18,Social,completed
661,3406,2024-02-27,Organic,returned
662,3241,2024-01-20,Paid Search,completed
663,1613,2024-09-23,Email,completed
664,2463,2024-08-12,Social,completed
665,1759,2023-12-26,Referral,completed
666,2515,2024-05-07,Referral,completed
667,631,2024-05-14,Email,completed
668,1205,2024-07-09,Social,completed
669,1016,2023-10-01,Organic,completed
670,691,2024-05-21,Email,completed
671,1633,2023-07-05,Social,completed
672,2930,2023-05-21,Paid Search,completed
673,1558,2024-02-09,Email,completed
674,3937,2023-04-26,Paid Search,completed
675,1212,2024-10-23,Social,cancelled
676,3788,2024-10-31,Social,completed
677,792,2024-09-30,Email,completed
678,1290,2023-04-10,Paid Search,completed
679,677,2024-04-18,Organic,completed
680,961,2024-09-02,Social,returned
681,656,2023-07-15,Paid Search,completed
682,2517,2023-07-18,Referral,completed
683,819,2024-09-19,Referral,completed
684,346,2024-12-05,Referral,completed
685,1070,2024-06-06,Paid Search,completed
686,2724,2024-07-21,Referral,completed
687,1701,2023-11-18,Organic,completed
688,652,2024-11-02,Social,completed
689,257,2024-09-11,Referral,cancelled
690,2943,2023-09-25,Organic,completed
691,2830,2024-04-06,Email,completed
692,1844,2024-05-08,Social,completed
693,2128,2024-08-09,Organic,completed
694,968,2024-07-06,Organic,completed
695,1941,2024-06-17,Organic,completed
696,2939,2024-12-02,Social,completed
697,3095,2024-11-23,Email,completed
698,1360,2024-07-20,Referral,completed
699,2726,2024-11-21,Email,completed
700,1945,2024-09-01,Email,completed
701,2980,2024-02-17,Paid Search,cancelled
702,2775,2024-01-03,Organic,completed
703,3019,2024-09-22,Paid Search,completed
704,681,2023-11-21,Organic,returned
705,1293,2024-11-03,Email,cancelled
706,1064,2024-10-01,Paid Search,completed
707,1780,2024-03-13,Email,returned
708,1860,2024-09-07,Referral,completed
709,2690,2023-11-21,Paid Search,completed
710,2294,2024-05-31,Organic,completed
711,2334,2024-07-30,Organic,completed
712,2548,2024-08-12,Social,completed
713,1097,2024-07-12,Organic,completed
714,914,2024-06-22,Paid Search,completed
715,871,2024-12-08,Social,completed
716,3121,2024-01-07,Paid Search,completed
717,403,2024-09-03,Organic,completed
718,1266,2023-05-29,Paid Search,completed
719,1131,2024-12-03,Paid Search,returned
720,2386,2024-09-27,Social,completed
721,3702,2024-01-02,Paid Search,completed
722,3523,2024-12-23,Email,completed
723,430,2023-12-02,Organic,completed
724,2172,2024-02-07,Paid Search,completed
725,152,2023-12-25,Email,completed
726,3170,2024-04-24,Organic,completed
727,1479,2024-09-07,Organic,completed
728,871,2024-12-05,Social,completed
729,1937,2024-02-14,Paid Search,completed
730,1730,2024-06-18,Referral,completed
731,3770,2023-09-14,Email,completed
732,136,2024-11-24,Paid Search,completed
733,3794,2024-01-24,Organic,completed
734,951,2024-01-16,Organic,completed
735,601,2024-01-06,Paid Search,completed
736,2987,2024-12-10,Organic,returned
737,2105,2024-09-10,Organic,completed
