order_id,order_date,region,segment,category,sub_category,quantity,discount,sales,profit
ORD-005483,2022-02-09,North,Corporate,Office Supplies,Art,5,0.1,175.18,9.59
ORD-009293,2022-02-09,Central,Consumer,Office Supplies,Art,3,0.2,4.97,2.19
ORD-004892,2022-02-10,West,Consumer,Furniture,Tables,1,0.1,71.95,-0.71
ORD-005078,2022-02-10,South,Consumer,Technology,Laptops,1,0.1,155.08,16.11
ORD-008833,2022-02-12,South,Corporate,Office Supplies,Binders,2,0.3,100.65,9.51
ORD-003937,2022-02-12,South,Corporate,Office Supplies,Art,2,0.0,26.97,12.06
ORD-007802,2022-02-12,Central,Consumer,Office Supplies,Binders,5,0.0,30.24,7.57
ORD-010808,2022-02-14,East,Home Office,Technology,Networking,5,0.15,281.78,30.66
ORD-008735,2022-02-14,South,Consumer,Office Supplies,Art,1,0.0,17.32,6.16
ORD-008536,2022-02-16,East,Consumer,Furniture,Chairs,1,0.0,305.43,7.79
ORD-004810,2022-02-17,West,Corporate,Technology,Laptops,5,0.15,163.8,19.96
ORD-000346,2022-02-17,West,Corporate,Office Supplies,Binders,1,0.2,68.4,-2.64
ORD-009516,2022-02-17,North,Corporate,Technology,Laptops,1,0.15,457.07,21.48
ORD-005802,2022-02-17,West,Consumer,Technology,Laptops,5,0.2,315.3,15.38
ORD-008230,2022-02-18,North,Consumer,Office Supplies,Art,2,0.2,27.05,8.29
ORD-011852,2022-02-18,South,Corporate,Technology,Accessories,2,0.0,525.72,72.75
ORD-000499,2022-02-18,North,Consumer,Furniture,Furnishings,3,0.3,357.06,-55.53
ORD-010465,2022-02-19,North,Home Office,Office Supplies,Paper,3,0.0,44.29,-6.89
ORD-010067,2022-02-19,West,Consumer,Office Supplies,Labels,2,0.3,22.01,9.09
ORD-002167,2022-02-19,South,Corporate,Office Supplies,Labels,1,0.15,45.93,-0.81
ORD-001228,2022-02-20,North,Consumer,Technology,Laptops,2,0.1,23.61,-13.98
ORD-010363,2022-02-20,South,Home Office,Technology,Phones,1,0.0,403.51,78.01
ORD-000161,2022-02-20,South,Consumer,Technology,Accessories,1,0.0,1095.04,177.07
ORD-000393,2022-02-22,North,Home Office,Furniture,Tables,4,0.15,57.04,0.29
ORD-000397,2022-02-23,North,Consumer,Technology,Networking,5,0.15,366.66,18.91
ORD-009342,2022-02-23,West,Consumer,Furniture,Furnishings,3,0.1,186.83,-0.98
ORD-008326,2022-02-23,North,Consumer,Furniture,Furnishings,1,0.0,148.46,5.57
ORD-003807,2022-02-23,West,Consumer,Furniture,Bookcases,4,0.3,76.28,-24.81
ORD-002738,2022-02-24,East,Consumer,Technology,Accessories,2,0.2,525.46,11.23
ORD-001022,2022-02-24,South,Consumer,Office Supplies,Labels,1,0.2,43.3,18.21
ORD-000358,2022-02-24,South,Consumer,Technology,Accessories,2,0.0,390.56,80.4
ORD-000367,2022-02-24,West,Corporate,Office Supplies,Storage,1,0.0,74.32,13.72
ORD-001583,2022-02-25,West,Consumer,Office Supplies,Binders,2,0.1,6.38,-3.46
ORD-001544,2022-02-26,South,Corporate,Technology,Phones,5,0.15,294.25,25.89
ORD-000559,2022-02-26,West,Corporate,Office Supplies,Binders,1,0.0,6.01,-15.68
ORD-000306,2022-02-27,West,Consumer,Technology,Networking,2,0.15,164.21,25.39
ORD-008262,2022-02-27,West,Home Office,Office Supplies,Storage,5,0.2,51.76,2.63
ORD-004845,2022-02-28,West,Consumer,Office Supplies,Labels,3,0.0,36.86,-3.5
ORD-011150,2022-02-28,Central,Corporate,Office Supplies,Binders,3,0.0,43.7,17.05
ORD-001634,2022-02-28,North,Consumer,Office Supplies,Art,1,0.2,30.19,-16.23
ORD-009686,2022-02-28,South,Consumer,Technology,Laptops,1,0.3,680.41,-0.07
ORD-002910,2022-02-28,East,Consumer,Office Supplies,Binders,5,0.3,25.77,-12.28
ORD-004180,2022-02-28,East,Corporate,Technology,Networking,3,0.2,93.34,-10.97
ORD-000453,2022-02-28,South,Home Office,Office Supplies,Paper,2,0.15,45.7,5.26
ORD-002367,2022-03-01,Central,Corporate,Technology,Laptops,2,0.1,398.79,36.86
ORD-001471,2022-03-01,East,Consumer,Technology,Accessories,1,0.15,366.4,38.37
ORD-007278,2022-03-01,East,Consumer,Technology,Accessories,4,0.1,533.69,60.27
ORD-008458,2022-03-01,West,Corporate,Office Supplies,Paper,3,0.0,98.79,-2.56
ORD-011744,2022-03-01,North,Corporate,Technology,Networking,1,0.0,769.96,127.45
ORD-002140,2022-03-02,West,Consumer,Office Supplies,Paper,3,0.3,43.87,-6.26
ORD-002903,2022-03-03,Central,Corporate,Furniture,Tables,2,0.1,318.76,-10.24
ORD-007581,2022-03-03,Central,Home Office,Technology,Accessories,3,0.2,90.26,5.79
ORD-010705,2022-03-03,Central,Corporate,Office Supplies,Storage,2,0.0,14.34,0.59
ORD-003148,2022-03-03,South,Home Office,Office Supplies,Paper,5,0.15,12.87,7.1
ORD-006577,2022-03-04,Central,Corporate,Technology,Laptops,5,0.15,349.51,32.86
ORD-009816,2022-03-04,West,Corporate,Office Supplies,Storage,3,0.1,80.92,8.0
ORD-000561,2022-03-05,Central,Corporate,Office Supplies,Labels,5,0.0,32.8,3.93
ORD-001276,2022-03-05,Central,Corporate,Technology,Laptops,1,0.0,482.41,82.54
ORD-000939,2022-03-05,East,Corporate,Furniture,Tables,2,0.1,520.98,2.63
ORD-001680,2022-03-05,South,Consumer,Technology,Laptops,5,0.2,229.35,3.55
ORD-005531,2022-03-06,West,Corporate,Furniture,Bookcases,4,0.0,228.6,8.36
ORD-002020,2022-03-07,East,Consumer,Furniture,Tables,1,0.0,306.09,9.9
ORD-003000,2022-03-07,West,Corporate,Office Supplies,Binders,5,0.0,19.39,13.5
ORD-010816,2022-03-07,North,Corporate,Furniture,Tables,1,0.2,327.84,-26.85
ORD-009595,2022-03-08,East,Corporate,Furniture,Bookcases,3,0.1,229.85,-0.83
ORD-007568,2022-03-08,South,Corporate,Technology,Networking,1,0.0,732.56,111.77
ORD-007308,2022-03-09,East,Consumer,Furniture,Tables,2,0.2,524.62,-47.67
ORD-004337,2022-03-10,East,Corporate,Technology,Networking,4,0.3,645.8,-7.88
ORD-001185,2022-03-10,West,Home Office,Office Supplies,Storage,1,0.1,21.09,-3.35
ORD-006584,2022-03-10,West,Consumer,Office Supplies,Storage,2,0.15,58.53,7.15
ORD-003462,2022-03-10,North,Consumer,Office Supplies,Binders,2,0.0,26.94,12.92
ORD-003223,2022-03-11,North,Consumer,Furniture,Tables,3,0.0,236.86,20.77
ORD-000035,2022-03-11,North,Consumer,Furniture,Tables,4,0.0,440.42,3.32
ORD-009195,2022-03-11,Central,Home Office,Office Supplies,Storage,5,0.3,83.97,3.89
ORD-010592,2022-03-12,South,Home Office,Office Supplies,Paper,1,0.3,24.31,6.67
ORD-010995,2022-03-12,East,Consumer,Office Supplies,Labels,4,0.15,47.09,-5.85
ORD-009496,2022-03-13,West,Corporate,Technology,Accessories,4,0.0,260.54,52.09
ORD-008451,2022-03-13,East,Corporate,Office Supplies,Labels,3,0.3,80.47,-16.23
ORD-004832,2022-03-13,South,Home Office,Office Supplies,Storage,3,0.0,73.95,13.81
ORD-006308,2022-03-13,East,Home Office,Furniture,Bookcases,4,0.0,237.3,15.18
ORD-009104,2022-03-14,South,Corporate,Office Supplies,Labels,3,0.0,11.27,13.24
ORD-000962,2022-03-15,South,Home Office,Technology,Networking,3,0.2,56.88,1.99
ORD-005259,2022-03-16,West,Consumer,Office Supplies,Art,4,0.0,46.11,-8.18
ORD-007153,2022-03-16,East,Consumer,Technology,Networking,2,0.15,70.68,16.28
ORD-010375,2022-03-17,Central,Consumer,Office Supplies,Art,1,0.1,60.67,5.45
ORD-000677,2022-03-17,South,Consumer,Office Supplies,Art,4,0.15,19.8,7.03
ORD-009174,2022-03-17,East,Corporate,Office Supplies,Binders,3,0.0,24.99,14.0
ORD-006284,2022-03-17,North,Corporate,Office Supplies,Binders,3,0.0,3.38,9.1
ORD-005594,2022-03-18,North,Consumer,Technology,Laptops,3,0.1,447.57,48.57
ORD-002476,2022-03-19,East,Consumer,Technology,Accessories,5,0.1,163.24,27.56
ORD-010100,2022-03-19,East,Corporate,Furniture,Furnishings,1,0.0,245.08,16.36
ORD-011597,2022-03-20,Central,Consumer,Office Supplies,Art,5,0.0,20.08,1.11
ORD-002719,2022-03-20,North,Home Office,Office Supplies,Paper,1,0.15,141.48,7.09
ORD-007884,2022-03-20,Central,Consumer,Office Supplies,Paper,4,0.0,104.01,20.03
ORD-008710,2022-03-21,East,Home Office,Technology,Laptops,4,0.0,403.4,60.39
ORD-006857,2022-03-21,West,Corporate,Furniture,Chairs,4,0.0,373.5,15.68
ORD-002902,2022-03-22,West,Corporate,Office Supplies,Storage,5,0.0,17.13,2.36
ORD-011642,2022-03-22,South,Consumer,Technology,Networking,4,0.15,242.97,7.32
ORD-011065,2022-03-23,South,Corporate,Technology,Accessories,1,0.2,128.36,-1.12
ORD-009720,2022-03-24,East,Consumer,Technology,Networking,4,0.1,39.93,1.89
ORD-003155,2022-03-24,North,Home Office,Technology,Networking,3,0.2,272.74,4.04
ORD-008994,2022-03-24,South,Consumer,Technology,Networking,1,0.0,166.89,32.09
ORD-003664,2022-03-24,South,Home Office,Office Supplies,Labels,2,0.0,42.26,10.43
ORD-003257,2022-03-24,Central,Consumer,Office Supplies,Binders,4,0.1,36.11,-3.19
ORD-000710,2022-03-26,Central,Corporate,Technology,Phones,4,0.0,459.24,88.54
ORD-008387,2022-03-26,West,Home Office,Technology,Phones,3,0.3,529.03,3.51
ORD-005414,2022-03-26,East,Home Office,Furniture,Furnishings,5,0.15,245.42,-20.62
ORD-010619,2022-03-26,West,Consumer,Technology,Networking,5,0.0,879.49,130.56
ORD-005916,2022-03-26,Central,Corporate,Technology,Laptops,3,0.1,192.23,19.15
ORD-005441,2022-03-27,South,Consumer,Furniture,Tables,2,0.2,216.32,-23.07
ORD-009824,2022-03-27,East,Consumer,Technology,Phones,4,0.0,448.73,68.2
ORD-011040,2022-03-27,West,Corporate,Office Supplies,Paper,1,0.15,64.15,4.94
ORD-010161,2022-03-27,North,Corporate,Furniture,Chairs,4,0.0,249.78,4.61
ORD-004002,2022-03-27,West,Corporate,Technology,Phones,4,0.2,138.37,3.57
ORD-009952,2022-03-28,Central,Home Office,Technology,Accessories,1,0.0,437.06,72.76
ORD-004451,2022-03-28,South,Home Office,Office Supplies,Storage,1,0.3,7.5,-2.57
ORD-001058,2022-03-28,North,Consumer,Office Supplies,Storage,3,0.0,10.9,12.71
ORD-011489,2022-03-28,North,Consumer,Furniture,Chairs,3,0.15,264.54,-25.74
ORD-002933,2022-03-29,North,Consumer,Office Supplies,Paper,3,0.0,132.69,23.17
ORD-004848,2022-03-29,Central,Corporate,Office Supplies,Paper,2,0.0,41.88,7.89
ORD-007901,2022-03-29,West,Consumer,Office Supplies,Storage,1,0.0,31.56,-5.2
ORD-010006,2022-03-29,East,Consumer,Furniture,Bookcases,2,0.0,48.47,1.9
ORD-000027,2022-03-29,South,Consumer,Office Supplies,Paper,2,0.15,14.07,1.76
ORD-005775,2022-03-30,West,Consumer,Office Supplies,Labels,3,0.1,56.89,7.91
ORD-007352,2022-03-30,West,Consumer,Furniture,Chairs,5,0.2,137.49,-19.61
ORD-009913,2022-03-30,South,Corporate,Furniture,Tables,4,0.0,49.66,-4.59
ORD-006659,2022-03-30,South,Consumer,Technology,Accessories,1,0.15,8.13,3.44
ORD-003015,2022-03-31,South,Consumer,Office Supplies,Labels,1,0.0,42.92,9.31
ORD-002382,2022-03-31,South,Consumer,Office Supplies,Paper,4,0.3,19.39,2.12
ORD-004819,2022-03-31,West,Consumer,Office Supplies,Storage,4,0.15,162.34,11.35
ORD-000884,2022-04-01,West,Corporate,Technology,Networking,3,0.15,732.82,61.2
ORD-011988,2022-04-01,Central,Home Office,Technology,Accessories,2,0.2,103.75,13.09
ORD-007454,2022-04-01,South,Corporate,Technology,Laptops,4,0.0,46.83,13.76
ORD-002529,2022-04-01,West,Corporate,Office Supplies,Labels,5,0.0,33.77,-9.07
ORD-011361,2022-04-01,East,Consumer,Office Supplies,Binders,4,0.0,65.95,5.86
ORD-009779,2022-04-01,South,Consumer,Office Supplies,Binders,5,0.0,115.23,7.51
ORD-000527,2022-04-01,North,Consumer,Furniture,Tables,4,0.0,72.7,4.06
ORD-004707,2022-04-01,West,Corporate,Technology,Phones,4,0.0,544.69,93.17
ORD-010354,2022-04-01,North,Home Office,Furniture,Chairs,1,0.1,245.49,-6.53
ORD-003615,2022-04-02,West,Consumer,Office Supplies,Paper,5,0.0,17.99,5.46
ORD-000640,2022-04-02,South,Consumer,Technology,Laptops,4,0.0,290.79,40.27
ORD-006984,2022-04-02,South,Corporate,Technology,Accessories,3,0.0,1177.83,179.12
ORD-001172,2022-04-02,North,Consumer,Technology,Networking,1,0.0,96.8,27.81
ORD-000120,2022-04-03,Central,Consumer,Office Supplies,Paper,3,0.2,66.74,-3.43
ORD-011654,2022-04-03,West,Corporate,Office Supplies,Art,5,0.0,39.08,-2.43
ORD-000324,2022-04-04,West,Corporate,Technology,Networking,3,0.0,249.52,46.27
ORD-007768,2022-04-04,Central,Home Office,Furniture,Tables,5,0.0,555.51,30.45
ORD-000881,2022-04-05,Central,Consumer,Office Supplies,Art,1,0.1,37.49,-0.99
ORD-005847,2022-04-05,South,Home Office,Furniture,Furnishings,4,0.1,364.22,-10.71
ORD-003997,2022-04-05,East,Consumer,Technology,Networking,1,0.2,250.92,8.91
ORD-010747,2022-04-05,North,Home Office,Office Supplies,Storage,4,0.1,22.78,-1.07
ORD-003063,2022-04-05,South,Home Office,Furniture,Furnishings,3,0.0,99.14,17.32
ORD-005145,2022-04-05,South,Consumer,Furniture,Tables,4,0.0,406.85,10.94
ORD-002396,2022-04-05,Central,Home Office,Office Supplies,Labels,4,0.15,26.24,8.43
ORD-009209,2022-04-05,East,Consumer,Technology,Phones,4,0.0,166.24,25.24
ORD-010270,2022-04-05,East,Consumer,Technology,Laptops,2,0.15,192.02,22.06
ORD-007989,2022-04-06,East,Consumer,Technology,Laptops,1,0.1,342.82,19.46
ORD-008368,2022-04-06,North,Consumer,Office Supplies,Labels,1,0.2,41.4,4.41
ORD-005164,2022-04-06,South,Corporate,Technology,Networking,2,0.2,167.15,12.84
ORD-008284,2022-04-06,South,Consumer,Office Supplies,Binders,5,0.0,14.25,-1.32
ORD-004927,2022-04-06,North,Consumer,Office Supplies,Binders,5,0.15,43.68,14.4
ORD-002528,2022-04-06,North,Corporate,Office Supplies,Storage,5,0.15,48.62,-2.3
ORD-005200,2022-04-06,North,Consumer,Office Supplies,Binders,2,0.15,45.58,-1.38
ORD-010079,2022-04-07,Central,Consumer,Technology,Laptops,1,0.1,391.96,47.35
ORD-003238,2022-04-07,South,Corporate,Technology,Phones,4,0.0,735.01,118.71
ORD-011779,2022-04-07,East,Corporate,Office Supplies,Binders,2,0.0,90.61,3.42
ORD-010242,2022-04-07,East,Consumer,Office Supplies,Storage,5,0.0,10.25,-9.44
ORD-002832,2022-04-08,East,Consumer,Technology,Networking,2,0.2,302.52,26.57
ORD-010230,2022-04-09,South,Consumer,Technology,Laptops,1,0.2,120.14,10.13
ORD-003549,2022-04-09,East,Consumer,Office Supplies,Labels,5,0.15,45.77,19.83
ORD-000651,2022-04-09,North,Consumer,Technology,Phones,1,0.3,417.61,-6.66
ORD-001806,2022-04-09,South,Consumer,Furniture,Chairs,4,0.1,232.9,-10.69
ORD-011560,2022-04-09,South,Corporate,Technology,Accessories,4,0.1,28.01,3.29
ORD-010504,2022-04-10,Central,Home Office,Furniture,Tables,2,0.0,385.38,4.17
ORD-009416,2022-04-10,West,Home Office,Furniture,Chairs,1,0.0,18.08,-3.4
ORD-011573,2022-04-10,Central,Consumer,Office Supplies,Paper,4,0.0,47.86,5.31
ORD-001418,2022-04-10,Central,Corporate,Office Supplies,Labels,1,0.0,46.68,-0.12
ORD-007651,2022-04-11,West,Corporate,Office Supplies,Labels,3,0.1,56.26,3.04
ORD-004241,2022-04-11,East,Corporate,Technology,Networking,2,0.0,52.54,3.03
ORD-003877,2022-04-11,East,Consumer,Office Supplies,Art,4,0.1,52.87,11.24
ORD-009519,2022-04-11,South,Corporate,Office Supplies,Paper,4,0.15,0.62,8.74
ORD-009681,2022-04-11,North,Corporate,Office Supplies,Labels,5,0.0,68.48,-2.03
ORD-009725,2022-04-11,South,Consumer,Office Supplies,Paper,1,0.0,70.86,13.49
ORD-010522,2022-04-12,East,Consumer,Furniture,Tables,1,0.2,99.18,-13.62
ORD-001904,2022-04-12,East,Consumer,Technology,Phones,5,0.0,401.54,59.27
ORD-007840,2022-04-12,West,Home Office,Technology,Phones,1,0.1,564.99,63.71
ORD-005474,2022-04-13,Central,Corporate,Office Supplies,Storage,1,0.0,19.39,1.25
ORD-009726,2022-04-13,East,Home Office,Technology,Phones,5,0.2,191.54,6.4
ORD-008268,2022-04-13,South,Consumer,Furniture,Tables,1,0.15,357.79,-13.45
ORD-004799,2022-04-14,South,Consumer,Office Supplies,Binders,2,0.0,47.95,7.86
ORD-010908,2022-04-14,South,Consumer,Technology,Networking,1,0.2,42.14,-2.33
ORD-004230,2022-04-14,North,Consumer,Furniture,Tables,4,0.2,134.28,-15.35
ORD-009551,2022-04-14,South,Corporate,Furniture,Furnishings,5,0.0,60.18,0.53
ORD-009875,2022-04-15,North,Consumer,Furniture,Bookcases,1,0.2,364.85,-29.28
ORD-009229,2022-04-15,East,Corporate,Office Supplies,Paper,4,0.0,44.17,17.36
ORD-003603,2022-04-15,East,Consumer,Furniture,Tables,4,0.15,406.24,-19.51
ORD-000096,2022-04-15,East,Consumer,Technology,Accessories,4,0.0,236.87,40.24
ORD-011362,2022-04-15,North,Home Office,Office Supplies,Storage,5,0.0,20.48,1.44
ORD-005731,2022-04-15,West,Consumer,Technology,Accessories,4,0.0,371.55,51.8
ORD-011660,2022-04-16,West,Consumer,Technology,Phones,1,0.3,303.58,10.0
ORD-005029,2022-04-16,Central,Consumer,Furniture,Furnishings,5,0.15,236.9,-22.7
ORD-003958,2022-04-16,South,Corporate,Technology,Accessories,1,0.1,392.4,39.48
ORD-010582,2022-04-16,East,Corporate,Office Supplies,Art,2,0.1,49.54,3.78
ORD-007524,2022-04-16,North,Consumer,Office Supplies,Labels,2,0.0,54.7,2.81
ORD-002713,2022-04-17,East,Corporate,Technology,Phones,1,0.0,454.11,73.67
ORD-000513,2022-04-17,North,Consumer,Office Supplies,Binders,1,0.1,36.68,-9.69
ORD-001475,2022-04-17,West,Consumer,Office Supplies,Labels,2,0.0,8.14,8.02
ORD-001794,2022-04-18,East,Consumer,Technology,Networking,5,0.15,32.94,-1.89
ORD-008148,2022-04-18,West,Consumer,Technology,Phones,1,0.0,266.97,38.91
ORD-011205,2022-04-18,West,Consumer,Office Supplies,Labels,2,0.2,7.92,-3.84
ORD-000277,2022-04-18,South,Home Office,Technology,Phones,5,0.15,397.93,12.48
ORD-000084,2022-04-18,Central,Corporate,Furniture,Furnishings,2,0.0,785.21,33.92
ORD-007668,2022-04-19,North,Consumer,Office Supplies,Labels,2,0.15,93.75,-4.97
ORD-003986,2022-04-19,South,Corporate,Technology,Phones,1,0.0,220.72,32.04
ORD-007786,2022-04-19,West,Home Office,Furniture,Bookcases,4,0.1,229.62,3.65
ORD-010314,2022-04-19,West,Consumer,Office Supplies,Storage,2,0.0,23.04,0.37
ORD-004847,2022-04-19,North,Corporate,Technology,Laptops,4,0.0,345.1,64.6
ORD-007237,2022-04-19,East,Home Office,Technology,Laptops,2,0.0,63.81,4.27
ORD-001917,2022-04-20,Central,Consumer,Office Supplies,Labels,1,0.3,44.81,5.89
ORD-011993,2022-04-20,West,Corporate,Furniture,Chairs,3,0.15,177.67,-5.5
ORD-011918,2022-04-20,North,Corporate,Technology,Phones,1,0.0,360.76,49.06
ORD-008327,2022-04-20,East,Home Office,Office Supplies,Storage,1,0.0,103.16,24.95
ORD-008525,2022-04-20,East,Corporate,Office Supplies,Binders,2,0.1,15.28,4.0
ORD-006446,2022-04-21,Central,Consumer,Technology,Laptops,5,0.0,200.61,38.87
ORD-002974,2022-04-21,East,Consumer,Office Supplies,Paper,4,0.0,31.33,9.02
ORD-007641,2022-04-21,South,Consumer,Technology,Phones,1,0.0,301.87,48.57
ORD-003638,2022-04-21,West,Consumer,Office Supplies,Paper,3,0.0,74.24,-8.71
ORD-006515,2022-04-21,West,Corporate,Furniture,Tables,4,0.15,556.94,-19.43
ORD-008282,2022-04-21,North,Home Office,Office Supplies,Storage,1,0.1,20.0,-3.07
ORD-011332,2022-04-22,Central,Home Office,Technology,Accessories,2,0.3,217.57,-17.02
ORD-009721,2022-04-22,West,Consumer,Office Supplies,Storage,4,0.3,60.85,-0.61
ORD-001051,2022-04-22,North,Corporate,Office Supplies,Storage,3,0.2,89.25,-11.98
ORD-011195,2022-04-22,South,Consumer,Technology,Phones,5,0.0,998.28,159.5
ORD-006126,2022-04-22,South,Corporate,Office Supplies,Paper,4,0.1,30.63,-23.03
ORD-005867,2022-04-23,East,Consumer,Technology,Laptops,3,0.0,215.32,30.01
ORD-010661,2022-04-23,East,Consumer,Technology,Networking,3,0.2,471.45,9.11
ORD-004950,2022-04-23,North,Home Office,Office Supplies,Paper,5,0.0,31.84,0.69
ORD-001465,2022-04-23,North,Consumer,Office Supplies,Storage,2,0.1,37.93,1.53
ORD-008981,2022-04-23,West,Consumer,Furniture,Furnishings,3,0.1,248.8,-8.41
ORD-002086,2022-04-24,East,Home Office,Technology,Accessories,1,0.1,317.8,23.35
ORD-010425,2022-04-24,West,Consumer,Office Supplies,Storage,3,0.1,94.9,6.05
ORD-004748,2022-04-24,South,Corporate,Technology,Accessories,1,0.0,379.24,56.41
ORD-009754,2022-04-24,South,Consumer,Office Supplies,Storage,2,0.0,3.41,-7.37
ORD-009919,2022-04-24,South,Consumer,Technology,Phones,1,0.1,246.91,20.36
ORD-006195,2022-04-24,East,Corporate,Office Supplies,Paper,4,0.0,29.02,1.04
ORD-006311,2022-04-24,South,Corporate,Office Supplies,Paper,2,0.1,141.17,-4.15
ORD-008193,2022-04-24,West,Consumer,Technology,Networking,5,0.0,585.64,111.63
ORD-004471,2022-04-25,East,Consumer,Technology,Laptops,1,0.1,140.11,7.38
ORD-001836,2022-04-25,Central,Corporate,Office Supplies,Binders,3,0.1,60.48,6.79
ORD-003867,2022-04-25,North,Corporate,Technology,Accessories,1,0.0,545.46,86.02
ORD-005503,2022-04-25,North,Corporate,Technology,Accessories,5,0.0,321.37,51.27
ORD-010351,2022-04-26,Central,Corporate,Office Supplies,Paper,3,0.0,18.69,-0.01
ORD-008998,2022-04-26,North,Consumer,Office Supplies,Storage,4,0.2,58.8,9.31
ORD-011551,2022-04-26,North,Consumer,Technology,Laptops,1,0.1,16.15,7.39
ORD-006664,2022-04-26,South,Consumer,Office Supplies,Paper,3,0.1,45.57,9.99
ORD-002660,2022-04-26,South,Home Office,Technology,Laptops,5,0.15,362.46,25.42
ORD-010534,2022-04-27,Central,Home Office,Technology,Accessories,2,0.0,124.47,20.08
ORD-003999,2022-04-27,South,Consumer,Office Supplies,Labels,5,0.1,58.58,5.27
ORD-009793,2022-04-28,East,Corporate,Technology,Phones,3,0.2,391.01,25.07
ORD-011712,2022-04-28,West,Consumer,Furniture,Chairs,3,0.1,197.27,0.68
ORD-001725,2022-04-28,East,Corporate,Technology,Laptops,1,0.1,323.17,44.35
ORD-009682,2022-04-28,East,Consumer,Office Supplies,Art,2,0.0,23.69,-1.73
ORD-010673,2022-04-29,Central,Consumer,Office Supplies,Binders,5,0.1,5.35,-6.74
ORD-005776,2022-04-29,South,Consumer,Office Supplies,Storage,5,0.2,56.86,6.16
ORD-009652,2022-04-29,Central,Consumer,Technology,Accessories,2,0.1,429.26,40.57
ORD-000709,2022-04-29,West,Consumer,Furniture,Tables,4,0.0,440.66,5.63
ORD-011517,2022-04-29,North,Consumer,Office Supplies,Paper,4,0.1,31.87,14.1
ORD-007171,2022-04-30,North,Consumer,Technology,Phones,1,0.0,403.77,62.87
ORD-009928,2022-04-30,West,Home Office,Technology,Phones,3,0.0,249.83,32.33
ORD-003303,2022-04-30,South,Corporate,Technology,Accessories,4,0.0,171.28,25.02
ORD-010638,2022-04-30,North,Corporate,Technology,Laptops,1,0.0,252.26,52.91
ORD-006337,2022-04-30,Central,Consumer,Technology,Networking,5,0.2,1636.55,62.77
ORD-011505,2022-04-30,Central,Corporate,Office Supplies,Binders,3,0.1,77.84,13.41
ORD-002649,2022-04-30,East,Corporate,Technology,Laptops,1,0.0,382.38,48.24
ORD-006593,2022-05-01,North,Corporate,Furniture,Chairs,1,0.1,813.94,-9.35
ORD-007871,2022-05-01,Central,Home Office,Technology,Accessories,5,0.0,95.31,12.84
ORD-001811,2022-05-01,East,Consumer,Furniture,Furnishings,4,0.0,42.1,-0.43
ORD-011464,2022-05-02,East,Consumer,Office Supplies,Storage,4,0.1,50.22,3.17
ORD-000605,2022-05-02,West,Consumer,Office Supplies,Art,4,0.0,21.2,6.02
ORD-000593,2022-05-02,East,Consumer,Office Supplies,Paper,4,0.0,39.74,-13.28
ORD-005102,2022-05-02,Central,Corporate,Technology,Laptops,5,0.1,164.13,14.86
ORD-001591,2022-05-03,Central,Corporate,Office Supplies,Labels,5,0.1,78.37,4.77
ORD-000737,2022-05-03,North,Consumer,Office Supplies,Binders,2,0.0,39.97,-2.47
ORD-007685,2022-05-03,South,Corporate,Office Supplies,Paper,4,0.0,13.55,9.83
ORD-004294,2022-05-03,West,Consumer,Office Supplies,Storage,1,0.0,11.06,-8.39
